,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
HS + LM + CM.bed,-0.055031497,0.18135397,0.5505173,0.5689979,1.0650437,0.706103,-0.12385009,0.15739444,0.3050214,0.75456274,-0.46335462,0.09490636,0.763651,0.9414745,1.2109536,-0.4984349,0.34806406,0.9741937,-0.83449674,0.8966717,0.18002985,0.27228892,-1.1465472,-0.97524464,-0.23911485,0.6511252,1.0952895,-0.24777783,0.13894299,0.21848981,0.36503497,1.3780581,-0.13360482,-0.4652841,-0.57595336,-0.5490803,1.031424,0.45197746,-0.39375794,0.34716603,-0.53302443,0.05602931,0.16079524,0.10173734,-0.13575456,-1.2025062,0.14955238,1.3870057,0.40670732,0.39230022,0.8758253,-0.61676455,0.6878992,0.6979398,1.0410919,-0.799289,0.017847173,-0.33582383,-0.44371346,1.1162773,-1.289301,1.5283512,-0.7179672,-1.1420997,-0.9279902,-0.7702383,0.1313213,-0.741263,0.31347066,0.13964266,0.9722032,-0.8508545,-1.1053488,0.52923095,-0.39246574,-0.29979098,-0.26436758,-1.126403,-0.11185134,0.35282695,-0.8050102,-0.2681741,-0.76048005,-0.14033258,0.6238779,-0.5965725,1.2575328,0.16642928,-0.5908863,-0.9520737,0.87725705,-0.19068757,-0.3198422,0.70750785,1.3125021,-1.0651369,0.9338115,0.46708566,-0.39403972,-1.3064636
High Signal + Centromere.bed,0.21095183,-0.02173479,0.07052577,0.15057927,0.2784609,-0.20174654,-0.3389414,0.33963922,-0.17543826,0.51371586,0.14915954,-0.018524844,0.21574184,0.36493358,0.41523775,-0.1940106,0.3022053,0.018702349,-0.45189676,0.34206724,0.028050315,-0.04063229,-0.1049181,-0.3277801,0.10209544,0.17689092,-0.2557902,0.004173876,-0.25653628,0.30279642,0.18093276,0.51884675,-0.1280683,-0.3593221,-0.2959339,-0.47738448,0.4302808,0.4129495,0.0011898502,0.21602006,-0.115260206,0.5154956,-0.008491545,-0.0059929374,-0.06951007,0.21047005,0.48276317,0.5017272,0.5519994,-0.1451363,0.07952022,-0.20867948,0.0134689845,0.51918656,-0.32307696,-0.10683348,-0.08656979,0.024486708,0.1549865,0.17421348,0.10621856,0.46058008,-0.40226692,-0.3543594,0.14307459,-0.7850561,-0.097856335,-0.25439805,-0.13904935,0.06743622,0.09249087,-0.17817517,-0.3506408,-0.36364073,-0.32685062,-0.24213101,0.18560365,-0.47185415,-0.200937,0.374011,0.012433109,-0.09157756,0.092837684,0.105406724,0.43179223,-0.107024066,0.64335304,0.14387797,0.051524658,0.06185233,0.39612886,0.20783521,-0.21976815,0.10635014,0.7884868,-0.2846599,0.26099822,0.058354273,-0.18300636,-0.35821897
Low Mappability.bed,-0.34640926,0.4026156,1.073462,1.025916,1.9223777,1.6981431,0.11141493,-0.041592617,0.8301326,1.0161587,-1.132927,0.21739827,1.3606374,1.570712,2.0792513,-0.8300925,0.3981686,2.0178404,-1.2519146,1.5017688,0.34617248,0.61476994,-2.2838242,-1.6805106,-0.6108849,1.168877,2.570235,-0.52384406,0.57166326,0.12557851,0.5659477,2.3153515,-0.13987052,-0.5800051,-0.88167864,-0.6270136,1.6872647,0.49560326,-0.8237898,0.48937526,-0.9888529,-0.4461203,0.34511557,0.219864,-0.20859283,-2.7450213,-0.215236,2.351326,0.24674654,0.9784337,1.7437519,-1.06023,1.4233447,0.89324,2.5315533,-1.5536016,0.13098104,-0.7299694,-1.0968375,2.1457415,-2.8127322,2.6917682,-1.0619317,-1.999717,-2.0985603,-0.7539605,0.3811719,-1.2713051,0.80753195,0.2180528,1.9316499,-1.5853508,-1.9291173,1.504381,-0.46508572,-0.36349222,-0.75682646,-1.8409985,-0.013249809,0.32947645,-1.697123,-0.45908865,-1.6914012,-0.4083192,0.83345497,-1.1302397,1.9264247,0.18964913,-1.2923602,-2.0594473,1.4014512,-0.6251501,-0.43003425,1.363609,1.883914,-1.918441,1.6674724,0.9145424,-0.6238543,-2.340154
hg38 Kundaje Unified.bed,-0.34806645,0.4040947,1.0751983,1.0268195,1.9240049,1.6979587,0.11109023,-0.041562732,0.8327483,1.0179886,-1.1358936,0.21666084,1.3620014,1.5722243,2.082562,-0.8330061,0.39781633,2.020918,-1.2540622,1.5042394,0.3471776,0.61552906,-2.2871397,-1.6820226,-0.6146866,1.1723022,2.5714083,-0.5256605,0.5700294,0.12493999,0.56757414,2.318109,-0.13791887,-0.5788419,-0.884458,-0.62932223,1.6897933,0.4956162,-0.82451034,0.48855862,-0.98940384,-0.44466063,0.34247664,0.21957582,-0.20928948,-2.74623,-0.21423636,2.3542528,0.24884874,0.98071253,1.7488325,-1.0623578,1.4253069,0.89454824,2.5365312,-1.5575339,0.13070671,-0.73007673,-1.0975984,2.1482074,-2.817912,2.69321,-1.0613275,-2.0030081,-2.099173,-0.75518745,0.37996474,-1.2710071,0.8099607,0.21854246,1.934406,-1.5877331,-1.9303784,1.5034369,-0.46635497,-0.36431655,-0.75937057,-1.8424244,-0.011542937,0.3279684,-1.7011979,-0.4620592,-1.6947879,-0.40561795,0.83434814,-1.1320043,1.9291531,0.19097552,-1.2915106,-2.0606246,1.4011354,-0.62851167,-0.42977294,1.365591,1.8873436,-1.9210763,1.6713202,0.91480666,-0.62387675,-2.3428211
hg38 Generated List.bed,-0.25167146,0.23996238,0.6874888,0.50613236,1.1182138,0.96819663,-0.015735563,-0.031775653,0.46919593,0.45852894,-0.6278201,0.15329,0.78694504,0.9517901,1.1879222,-0.3454354,0.1911314,1.1559428,-0.659112,0.85408676,0.14234662,0.34368965,-1.3728063,-0.92694205,-0.34112108,0.73884726,1.4517359,-0.31767944,0.23903939,-0.0157539,0.34597734,1.3256279,-0.12449598,-0.3040331,-0.41439238,-0.39427406,0.9849442,0.28380412,-0.38545915,0.23806192,-0.5929457,-0.24743307,0.16404952,0.16864213,-0.12277798,-1.4312918,-0.19968629,1.2645057,0.09815829,0.5933043,0.96147794,-0.5225999,0.8509925,0.5103409,1.5704933,-0.97015935,0.10840651,-0.4708382,-0.60847956,1.270883,-1.5708346,1.4629307,-0.57229614,-1.0264032,-1.2015663,-0.35152403,0.13184883,-0.65304,0.4812897,0.12279376,1.0430958,-0.9616718,-1.0073785,0.7805102,-0.32198295,-0.27801377,-0.48973548,-0.9915731,0.12208984,0.13140622,-0.9344747,-0.24473184,-0.9195616,-0.08653506,0.38952053,-0.59775096,0.9563749,-0.0044501955,-0.7318412,-1.1760416,0.7432631,-0.40055433,-0.25716263,0.82679075,0.99442697,-1.1556218,0.9636957,0.54470193,-0.30299696,-1.2976959
hg38 GitHub List.bed,-0.24328613,0.19210225,0.6369834,0.42438883,0.9988946,0.920523,-0.041697383,-0.003989284,0.42938814,0.3865591,-0.555699,0.13019677,0.72350913,0.8843356,1.0624683,-0.2760909,0.20520893,1.1032614,-0.56990373,0.77741575,0.13592371,0.31873056,-1.291406,-0.7829007,-0.34005523,0.73124266,1.2768884,-0.3039303,0.21505466,-0.026706837,0.31341818,1.2078841,-0.12856382,-0.26033595,-0.35332328,-0.35773197,0.8952357,0.2642491,-0.31450793,0.21437502,-0.5454037,-0.23158649,0.12381694,0.1931918,-0.090646334,-1.2481465,-0.17733954,1.1255363,0.0781657,0.5223974,0.8461746,-0.45279774,0.7545493,0.46511266,1.4856974,-0.8771446,0.053292766,-0.4679004,-0.5121578,1.1910437,-1.4356225,1.2856712,-0.5457127,-0.90875167,-1.1030656,-0.34795988,0.07687862,-0.57997954,0.43517974,0.11529601,0.9496408,-0.9072471,-0.89566916,0.6611644,-0.32624638,-0.26298943,-0.47179288,-0.8909509,0.13216516,0.14388908,-0.85426974,-0.23918384,-0.8228991,-0.02976777,0.36968547,-0.44872725,0.8754302,-0.06798452,-0.6363465,-1.0810274,0.64288735,-0.35948327,-0.29989743,0.79022497,0.92941236,-1.0882767,0.87940204,0.5532843,-0.22269097,-1.1308395
