BAM,R1 FASTQs,R2 FASTQs,Paired-End,Cropped,Pooled,Duplicate FASTQs,Restricted,BAM Read Length,Mapped Reads,Unmapped Reads,Date Created,Donor,Biosample Ontology,BAM md5sum
ENCFF762RDC,"ENCFF923WIL, ENCFF904JEL, ENCFF202KOP, ENCFF339NXD",,False,False,True,False,False,76,105255920,3816326,2016-10-27T22:03:26.484869+00:00,ENCDO793LXB,tissue_UBERON_0001159,1339670027e74fe04c04de181ddae37c
ENCFF816MXR,ENCFF002EHD,ENCFF002DTX,True,False,False,False,False,101,92649634,1675930,2016-05-06T18:09:26.541213+00:00,ENCDO000AAE,cell_line_EFO_0001203,456088f5d6a896e21173f426ac5b0b26
ENCFF088MWO,ENCFF371ASL,ENCFF631HIV,True,False,False,False,False,76,121543414,20791482,2017-02-02T05:05:37.187654+00:00,ENCDO271OUW,tissue_UBERON_0002106,2ffe3826928377c84d866ffc4a145a20
ENCFF037EWV,ENCFF419XJY,,False,False,False,False,False,40,43076875,2538863,2017-02-08T18:21:07.960885+00:00,ENCDO000AAD,cell_line_EFO_0002067,b35d70615e650ca97b9df9bbc7213718
ENCFF251KUS,ENCFF171QVC,ENCFF610OQN,True,False,False,False,False,101,98382441,2159351,2017-01-08T00:45:12.657759+00:00,ENCDO005EGE,primary_cell_CL_1001606,d5412e14bca11ebdd1b2d1cf892e85da
ENCFF731MOG,"ENCFF679NOJ, ENCFF067NSO",,False,False,True,False,False,51,40458807,1633128,2016-05-06T18:05:00.968799+00:00,ENCDO000AAE,cell_line_EFO_0001203,0a2bf04b75481c53bfda26b70aa4583e
ENCFF355WDB,"ENCFF890HQY, ENCFF489HIX, ENCFF475WXS, ENCFF228EQX",,False,True,True,False,False,36,93709316,1722779,2016-10-25T21:57:57.539469+00:00,ENCDO355AAA,cell_line_EFO_0006710,0ba84061a6eb35cc17031e82421f1588
ENCFF290OBJ,ENCFF540KKH,ENCFF357AAO,True,False,False,False,False,101,69747020,2935364,2016-12-07T18:29:25.209924+00:00,ENCDO451RUA,tissue_UBERON_0008952,dad84da28cd0f8a4f8e34e80b6fd1348
ENCFF291NTA,ENCFF229TOU,ENCFF546DKA,True,False,False,False,False,101,115598007,2407607,2017-01-27T06:28:45.395554+00:00,ENCDO793LXB,tissue_UBERON_0002046,4b6d869783b467a37d3a913c92998dfd
ENCFF505FXU,ENCFF698GOD,ENCFF051ZTX,True,False,False,False,False,76,99636563,22394677,2017-02-02T03:53:30.370433+00:00,ENCDO793LXB,tissue_UBERON_0008367,dcbe83e5d75e1660b411c90adad2b21e
ENCFF598VBU,ENCFF001HWK,,False,False,False,False,False,36,43866651,431459,2016-08-09T16:01:00.905512+00:00,ENCDO269AAA,primary_cell_CL_0002553,d5ba7a8f2b489ffca74240e01c18bd82
ENCFF406GRT,ENCFF339GDO,ENCFF997CZF,True,False,False,False,False,76,121589473,20691459,2017-02-02T06:00:48.506521+00:00,ENCDO793LXB,tissue_UBERON_0004648,764beef84e977ec98be3e456742e3891
ENCFF901PZK,ENCFF510UAH,,False,False,False,False,False,40,43074164,2221275,2017-02-08T18:24:59.627323+00:00,ENCDO000AAD,cell_line_EFO_0002067,17599bd82fdf89eadd7f5b4d0759750c
ENCFF522TXM,ENCFF971VIW,ENCFF999NFH,True,False,False,False,False,76,73756529,15249399,2016-11-08T22:44:20.509067+00:00,ENCDO793LXB,tissue_UBERON_0010414,dc7c3d6f032a7cb8ffd0c702ea49bcc6
ENCFF047NAO,ENCFF001HRU,,False,False,False,False,False,36,18213573,472686,2016-08-09T16:01:01.059291+00:00,ENCDO810BYC,primary_cell_CL_0002518,47749da58da00fedc3bdf2fc3d4842d3
ENCFF435MDR,ENCFF564CEO,ENCFF496PKK,True,False,False,False,False,101,91461163,1994289,2016-12-10T03:38:56.896027+00:00,ENCDO845WKR,tissue_UBERON_0006920,b268b395e32a5c8ffcd0ea24d895226b
ENCFF091CWD,ENCFF608KKT,,False,False,False,False,False,49,22021713,384609,2016-05-06T18:01:21.600981+00:00,ENCDO000AAE,cell_line_EFO_0001203,320dfc7287d5e67f6c9ef9dd50da8bfe
ENCFF794LPI,ENCFF002EIK,ENCFF002EIM,True,False,False,False,False,101,71686928,1362244,2016-05-06T18:10:04.273976+00:00,ENCDO000AAZ,cell_line_EFO_0001086,1bed9b34314959f81d017c00b58274d2
ENCFF271VSQ,"ENCFF348XCG, ENCFF726JBF",,False,False,True,False,False,49,57503256,1169087,2016-05-06T18:03:13.433198+00:00,ENCDO000AAD,cell_line_EFO_0002067,244611ae14bb387b0cb1c7dbb96f406a
ENCFF600WTX,ENCFF404TLY,ENCFF631KZD,True,False,False,False,False,101,63905645,5204705,2016-10-27T22:10:13.396023+00:00,ENCDO793LXB,tissue_UBERON_0004264,71f096f9885faf343ee9afdac29fcd8d
ENCFF888PWH,ENCFF347MJY,,False,False,False,False,False,36,25940213,1509025,2016-12-19T07:29:52.957434+00:00,ENCDO058AAA,tissue_UBERON_0001159,9a686d849d57e0339acfa86eb281bea7
ENCFF188SXC,ENCFF002ECR,,False,False,False,False,False,36,35661839,417078,2016-05-06T18:10:41.187064+00:00,ENCDO000AAK,cell_line_EFO_0002784,e1ce0699e9c65262250ba6386e7d65f0
ENCFF473CDC,ENCFF000VLG,,False,False,False,False,False,32,35659639,4310098,2016-10-29T18:02:33.669228+00:00,ENCDO000ABF,cell_line_EFO_0001182,94ed9f844c8e468cef98ab5d72c8bde2
ENCFF604FHH,ENCFF000XSE,,False,False,False,False,False,36,21034249,664414,2016-10-26T17:37:32.572216+00:00,ENCDO000AAC,cell_line_EFO_0001187,2af6cb7ffcbe3ae13fbe251e7d92eb5b
ENCFF296VVK,ENCFF330UDL,,False,False,False,False,True,36,21499019,1643525,2018-01-18T01:44:37.321436+00:00,ENCDO159WAM,tissue_UBERON_0000317,98ddf1fa39049dc425c088bd10a8d78c
ENCFF694ILQ,ENCFF151WGC,,False,False,False,False,False,50,25980257,699521,2016-05-06T18:12:24.575971+00:00,ENCDO000AAC,cell_line_EFO_0001187,853d3351b04b1f115731c3621fd50c66
ENCFF217BYD,"ENCFF970DYV, ENCFF769CSS",,False,False,True,False,True,36,34044740,2261377,2018-01-18T02:37:16.278521+00:00,ENCDO024FMB,tissue_UBERON_0012488,ccba3f1b7f67e94ec56c619ecfc09d78
ENCFF619KWB,ENCFF383MBA,ENCFF082MEA,True,False,False,False,False,101,103782821,1923371,2017-01-10T21:02:48.366123+00:00,ENCDO615NVN,primary_cell_CL_1001606,aa816bc1682b49c38877e19737528f3c
ENCFF356XXK,ENCFF224FXM,,False,False,False,False,False,36,45119622,6717621,2017-03-20T21:07:00.098234+00:00,ENCDO478OMA,tissue_UBERON_0002108,419e2c655c6f59ca9f1da9eed065f78c
ENCFF926RUG,ENCFF415KFB,,False,False,False,False,False,36,27965610,1215405,2016-12-19T07:21:10.352892+00:00,ENCDO424HVB,tissue_UBERON_0002048,71ea934f07dfb271256f3a339e6fa72f
ENCFF504IXT,ENCFF740VNQ,,False,False,False,False,True,75,29598798,1611275,2017-11-09T03:44:21.036394+00:00,ENCDO150YZC,tissue_UBERON_0003124,a24588715f9f88b6dafe9ca935840722
ENCFF948UIP,ENCFF001HXF,,False,False,False,False,False,36,18116675,329167,2016-08-09T16:00:17.158935+00:00,ENCDO106AAA,primary_cell_CL_0002328,9c11addcac38f19f2368d10b331b2bed
ENCFF969GRO,ENCFF001HVV,,False,False,False,False,False,36,19250103,516330,2016-08-09T16:00:41.631015+00:00,ENCDO268AAA,primary_cell_CL_0000312,40c45c161ee7b23ad482f21dfd70a14e
ENCFF180TTA,ENCFF626FRU,ENCFF213WYB,True,False,False,False,False,101,93468230,3024194,2017-03-17T16:47:37.533232+00:00,ENCDO271OUW,tissue_UBERON_0011907,42a26e1ca9bafcaa7cff68da6f41f493
ENCFF983NIA,ENCFF000RJY,,False,False,False,False,False,50,50877707,2528636,2016-11-30T18:18:03.011430+00:00,ENCDO000ABA,cell_line_EFO_0001247,db94a330f0baf53d16ab62b50b047ce3
ENCFF326MZA,"ENCFF564EJZ, ENCFF064RAZ",,False,False,True,False,False,76,49705376,2513842,2016-10-27T21:57:39.357677+00:00,ENCDO924HBJ,in_vitro_differentiated_cells_CL_0000746,6029a352c13f26a4c913ba761cdc731b
ENCFF775HII,"ENCFF056UQL, ENCFF306TBR",,False,False,True,False,False,76,57632050,1729781,2016-10-27T22:01:07.992974+00:00,ENCDO793LXB,tissue_UBERON_0001150,76df11b58a93001d9a4114e5d77bd671
ENCFF181QVQ,ENCFF533UCC,,False,True,False,False,False,36,50872270,3198641,2017-01-09T16:50:51.917389+00:00,ENCDO222AAA,cell_line_EFO_0003045,c37794a2feddc74fcf40cb354754b8b3
ENCFF283HXT,ENCFF598GVT,ENCFF549JAY,True,False,False,False,False,76,125955629,24040245,2017-02-02T05:35:42.292782+00:00,ENCDO793LXB,tissue_UBERON_0004648,82381b82b7d15238efa2e8b4da083a0f
ENCFF686CFO,ENCFF000ZXU,,False,False,False,False,False,36,27794898,1227193,2016-08-23T23:09:48.067934+00:00,ENCDO000AAD,cell_line_EFO_0002067,2d403b21d8d8051383e074d0d18db201
ENCFF078KYS,"ENCFF290VLP, ENCFF554RIX",,False,False,True,False,False,36,35337902,808212,2016-12-19T07:29:03.466477+00:00,ENCDO442NQP,tissue_UBERON_0000945,42422fa39ff264d3d11c86e8dedd18ad
ENCFF612TGS,"ENCFF673IEY, ENCFF530PGY",,False,False,True,False,False,49,51442117,1006739,2016-05-06T18:13:57.589574+00:00,ENCDO000AAD,cell_line_EFO_0002067,f679e6c1e2e01d9c34b3c7e663f13c11
ENCFF782IWR,ENCFF025UQF,,False,False,False,False,False,40,30058991,2904249,2017-02-08T18:24:45.630308+00:00,ENCDO000AAD,cell_line_EFO_0002067,2134da9f8a3586abcdd6276ca7d069ce
ENCFF084JUL,ENCFF736BPA,ENCFF595HTZ,True,False,False,False,False,101,94663750,2973338,2016-08-13T23:44:24.779815+00:00,ENCDO000ABF,cell_line_EFO_0001182,32550cf5acfe04084f48265b6e4a57c3
